driver_id,phase,dow_name,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km
43b16573fdbc466184844ca9d858b626,post,Wednesday,6.8249592998166975,0,0,1,3,4,0.5860840811325323
43b16573fdbc466184844ca9d858b626,pre,Saturday,9.377403098692128,0,4,2,3,9,0.9597539857548872
43b16573fdbc466184844ca9d858b626,pre,Sunday,8.93231807191657,0,5,6,3,14,1.5673423054667466
43b16573fdbc466184844ca9d858b626,pre,Thursday,7.727918662352645,0,4,2,1,7,0.9058066351165449
43b16573fdbc466184844ca9d858b626,pre,Tuesday,6.084468125738167,0,1,1,2,4,0.6574116122129772
446b1e2317304addbacd77c47114dac3,post,Friday,2.3138024050377517,0,1,1,0,2,0.8643780452667341
446b1e2317304addbacd77c47114dac3,post,Monday,8.10826456206891,0,0,5,0,5,0.6166547677033613
446b1e2317304addbacd77c47114dac3,post,Saturday,6.294255460883629,0,2,2,0,4,0.6355001040009352
446b1e2317304addbacd77c47114dac3,post,Sunday,10.724646842783233,0,8,2,2,12,1.1189179630725994
446b1e2317304addbacd77c47114dac3,post,Tuesday,9.644097490319036,0,3,5,1,9,0.9332132953896831
446b1e2317304addbacd77c47114dac3,post,Wednesday,13.303113781023795,0,8,2,3,13,0.9772148245881975
446b1e2317304addbacd77c47114dac3,pre,Friday,6.53437480604609,0,2,1,1,4,0.6121473161133797
446b1e2317304addbacd77c47114dac3,pre,Monday,3.97584679804432,0,4,3,0,7,1.7606312203586996
446b1e2317304addbacd77c47114dac3,pre,Wednesday,4.818714016247389,0,1,1,2,4,0.8300969898842494
54767952a9c2411ab0d1686941ebbd26,post,Friday,4.413637718829016,0,0,3,1,4,0.9062819050452653
54767952a9c2411ab0d1686941ebbd26,post,Monday,10.748518824032953,0,6,6,2,14,1.3025050455042193
54767952a9c2411ab0d1686941ebbd26,post,Sunday,3.095539082755853,0,1,1,1,3,0.969136528339097
54767952a9c2411ab0d1686941ebbd26,post,Tuesday,5.093280685232944,0,2,2,3,7,1.3743597560400014
54767952a9c2411ab0d1686941ebbd26,pre,Friday,10.131414591039121,0,8,7,4,19,1.8753550976785442
54767952a9c2411ab0d1686941ebbd26,pre,Monday,2.8555687295397165,0,0,2,2,4,1.4007717477158226
54767952a9c2411ab0d1686941ebbd26,pre,Saturday,5.250372681344053,0,2,6,3,11,2.0950893712908947
54767952a9c2411ab0d1686941ebbd26,pre,Sunday,2.84011099144469,0,2,1,1,4,1.4083956620178795
54767952a9c2411ab0d1686941ebbd26,pre,Thursday,3.224455866145723,0,1,3,1,5,1.550649228136787
54767952a9c2411ab0d1686941ebbd26,pre,Tuesday,6.325186827059918,0,5,3,1,9,1.4228828722492284
54767952a9c2411ab0d1686941ebbd26,pre,Wednesday,3.104300170662572,0,2,5,0,7,2.254936576737662
58a1c1708edb4a75be19901e378e0285,post,Saturday,8.22158487881592,0,8,0,3,11,1.337941548027201
58a1c1708edb4a75be19901e378e0285,post,Sunday,5.776227700304897,0,4,0,1,5,0.8656168453567153
58a1c1708edb4a75be19901e378e0285,post,Tuesday,2.711719341408953,0,3,1,4,8,2.9501578123654073
58a1c1708edb4a75be19901e378e0285,pre,Friday,6.44954149681778,0,3,3,1,7,1.085348470655444
58a1c1708edb4a75be19901e378e0285,pre,Monday,10.737818726595862,0,1,2,4,7,0.6519014874652446
58a1c1708edb4a75be19901e378e0285,pre,Saturday,5.959111307419359,0,3,1,1,5,0.8390512850086853
58a1c1708edb4a75be19901e378e0285,pre,Sunday,13.835450732463041,0,4,2,5,11,0.7950590271836946
58a1c1708edb4a75be19901e378e0285,pre,Thursday,6.806813066362887,0,0,3,3,6,0.8814697776335446
5952789bad7b454e96bce0fed9c90344,post,Friday,3.407117780581057,0,2,0,0,2,0.5870064168016275
5952789bad7b454e96bce0fed9c90344,post,Saturday,2.356134419627491,0,0,0,1,1,0.42442400215778087
5952789bad7b454e96bce0fed9c90344,post,Sunday,5.418364938508905,0,1,2,0,3,0.5536725624881181
5952789bad7b454e96bce0fed9c90344,post,Tuesday,4.625721594131338,0,3,0,1,4,0.8647299493931514
5952789bad7b454e96bce0fed9c90344,pre,Saturday,10.649182073519787,0,9,7,3,19,1.7841745843791443
5952789bad7b454e96bce0fed9c90344,pre,Sunday,13.425909541701404,0,7,2,6,15,1.1172427427288563
5952789bad7b454e96bce0fed9c90344,pre,Tuesday,6.031170535011852,0,1,2,2,5,0.829026466914548
61766dd5d46f40f499602f7f5fb97620,post,Monday,4.573680675861402,0,4,3,0,7,1.5304960044421176
61766dd5d46f40f499602f7f5fb97620,post,Thursday,8.954524825521576,0,0,1,1,2,0.22335076835118448
61766dd5d46f40f499602f7f5fb97620,post,Wednesday,3.033779714856073,0,2,1,1,4,1.3184872917478012
61766dd5d46f40f499602f7f5fb97620,pre,Friday,3.130048818046042,0,0,1,1,2,0.638967669919128
61766dd5d46f40f499602f7f5fb97620,pre,Saturday,7.008943083387472,0,3,7,1,11,1.5694235021071994
61766dd5d46f40f499602f7f5fb97620,pre,Sunday,11.390656199891666,0,11,4,1,16,1.4046600756989025
61766dd5d46f40f499602f7f5fb97620,pre,Tuesday,5.730325381737073,0,3,2,2,7,1.2215711209540498
63abe8bd8a454c878093476d92bbefc4,post,Friday,2.933539098040514,0,1,1,3,5,1.7044258940812476
63abe8bd8a454c878093476d92bbefc4,post,Saturday,3.0906657135127125,0,0,2,0,2,0.6471097767887972
63abe8bd8a454c878093476d92bbefc4,post,Thursday,6.619625378866784,0,3,1,4,8,1.2085276042266795
63abe8bd8a454c878093476d92bbefc4,post,Tuesday,3.970609304050944,0,1,1,0,2,0.5037010309625617
63abe8bd8a454c878093476d92bbefc4,pre,Monday,1.9406584494304224,0,0,0,0,0,0.0
63abe8bd8a454c878093476d92bbefc4,pre,Sunday,7.88584233817498,0,5,6,1,12,1.5217144200193533
63abe8bd8a454c878093476d92bbefc4,pre,Thursday,4.043763306777819,0,3,2,1,6,1.4837663692984453
63abe8bd8a454c878093476d92bbefc4,pre,Tuesday,17.899711337586574,0,8,6,8,22,1.2290700997956021
63abe8bd8a454c878093476d92bbefc4,pre,Wednesday,8.952104321950088,0,6,4,5,15,1.6755836907776858
6651a7b1ae6342e0bca120ed8da2207e,post,Friday,4.290113120827805,0,3,3,2,8,1.8647526940866184
6651a7b1ae6342e0bca120ed8da2207e,post,Monday,9.226617863476498,0,5,3,1,9,0.9754386854609463
6651a7b1ae6342e0bca120ed8da2207e,post,Sunday,12.934572238360165,0,8,5,2,15,1.1596827265392187
6651a7b1ae6342e0bca120ed8da2207e,post,Thursday,5.976197002953571,0,4,2,2,8,1.3386439563565626
6651a7b1ae6342e0bca120ed8da2207e,post,Tuesday,2.171604907423399,0,1,1,0,2,0.9209778413942674
6651a7b1ae6342e0bca120ed8da2207e,post,Wednesday,10.742088220048656,0,5,3,2,10,0.9309176945071398
6651a7b1ae6342e0bca120ed8da2207e,pre,Monday,9.209531863762647,0,3,5,2,10,1.0858315219417025
6651a7b1ae6342e0bca120ed8da2207e,pre,Sunday,8.77994278492878,0,1,2,2,5,0.5694797930326785
6900c77cf75e4db28adbac15140e3931,post,Monday,8.539181269121954,0,6,5,5,16,1.8737159331488473
6900c77cf75e4db28adbac15140e3931,post,Saturday,5.1657730242159525,0,4,4,0,8,1.5486549568666383
6900c77cf75e4db28adbac15140e3931,post,Thursday,11.11976055154419,0,9,5,1,15,1.3489499104292282
6900c77cf75e4db28adbac15140e3931,pre,Friday,5.480143991410175,0,5,3,0,8,1.4598156567673333
6900c77cf75e4db28adbac15140e3931,pre,Monday,12.151150478913422,0,8,3,1,12,0.987560809227429
6900c77cf75e4db28adbac15140e3931,pre,Saturday,3.6956959951373567,0,0,4,2,6,1.6235101609803813
6900c77cf75e4db28adbac15140e3931,pre,Tuesday,4.402161427614783,0,1,4,0,5,1.1358056905035268
6900c77cf75e4db28adbac15140e3931,pre,Wednesday,17.73419823728176,0,6,14,5,25,1.4097056808265338
6d3af7163bb74225818446ad551185a6,post,Friday,18.047407817334403,0,10,6,7,23,1.2744212483472928
6d3af7163bb74225818446ad551185a6,post,Monday,7.37329780032781,0,5,2,0,7,0.9493716637470938
6d3af7163bb74225818446ad551185a6,post,Saturday,1.875169515102289,0,1,0,0,1,0.5332851200631058
6d3af7163bb74225818446ad551185a6,post,Thursday,4.297226546581183,0,1,3,0,4,0.9308329352992448
6d3af7163bb74225818446ad551185a6,post,Tuesday,1.8851259580274744,0,1,1,0,2,1.0609370644350606
6d3af7163bb74225818446ad551185a6,post,Wednesday,4.457068417489471,0,2,1,0,3,0.6730881644598598
6d3af7163bb74225818446ad551185a6,pre,Monday,12.56679110822814,0,7,7,7,21,1.6710709853568104
6d3af7163bb74225818446ad551185a6,pre,Saturday,10.410417055993493,0,9,6,2,17,1.6329797268028514
6d3af7163bb74225818446ad551185a6,pre,Thursday,6.108210126993249,0,5,3,3,11,1.8008548775015245
6d3af7163bb74225818446ad551185a6,pre,Wednesday,8.392249953013923,0,8,8,1,17,2.0256784646761816
7c9d6a121cef4c908c451171d246a97d,post,Monday,0.0,0,0,0,0,0,0.0
7c9d6a121cef4c908c451171d246a97d,post,Sunday,9.255652497230706,0,1,2,1,4,0.43216834266377235
7c9d6a121cef4c908c451171d246a97d,post,Thursday,8.446288449011465,0,6,6,0,12,1.4207423855391126
7c9d6a121cef4c908c451171d246a97d,post,Tuesday,5.444729597334061,0,0,1,1,2,0.3673276999796782
7c9d6a121cef4c908c451171d246a97d,pre,Friday,9.804890206203954,0,9,6,3,18,1.835818619224381
7c9d6a121cef4c908c451171d246a97d,pre,Monday,12.028275292939728,0,6,4,1,11,0.9145118258522651
7c9d6a121cef4c908c451171d246a97d,pre,Saturday,6.717065704796054,0,3,2,2,7,1.0421217102286089
7c9d6a121cef4c908c451171d246a97d,pre,Thursday,8.24866152511654,0,7,5,3,15,1.8184768467376375
7c9d6a121cef4c908c451171d246a97d,pre,Tuesday,8.063519485115943,0,2,4,1,7,0.8681072840365746
80be0493a84549a69b4069f25939d72b,post,Friday,6.035166027263129,0,5,2,1,8,1.325564195559985
80be0493a84549a69b4069f25939d72b,post,Monday,9.066671846536234,0,5,6,1,12,1.3235286556206833
80be0493a84549a69b4069f25939d72b,post,Saturday,3.1415596303941213,0,1,4,1,6,1.909879393009413
80be0493a84549a69b4069f25939d72b,post,Thursday,2.003250703069236,0,0,0,0,0,0.0
80be0493a84549a69b4069f25939d72b,post,Wednesday,9.290149540018696,0,6,1,0,7,0.7534862565824654
80be0493a84549a69b4069f25939d72b,pre,Friday,6.847487739216722,0,2,5,6,13,1.8985065026910233
80be0493a84549a69b4069f25939d72b,pre,Saturday,4.574692935404887,0,0,3,3,6,1.311563439277912
80be0493a84549a69b4069f25939d72b,pre,Thursday,7.072509444907112,0,6,4,2,12,1.6967103534433814
8c8b69c30829410ba97add4d99084ca2,post,Friday,10.388100853061975,0,8,4,1,13,1.2514318241498539
8c8b69c30829410ba97add4d99084ca2,post,Monday,3.3727824218326403,0,2,3,5,10,2.9649110880287335
8c8b69c30829410ba97add4d99084ca2,post,Saturday,3.897923165532223,0,4,1,2,7,1.7958281122363322
8c8b69c30829410ba97add4d99084ca2,post,Sunday,4.877541750107246,0,1,1,2,4,0.8200852406669915
8c8b69c30829410ba97add4d99084ca2,post,Thursday,2.536033451817251,0,0,1,2,3,1.1829496956557428
8c8b69c30829410ba97add4d99084ca2,post,Tuesday,5.093809456972629,0,2,3,1,6,1.177900361346838
8c8b69c30829410ba97add4d99084ca2,pre,Monday,4.691019813802859,0,5,3,2,10,2.1317326289213265
8c8b69c30829410ba97add4d99084ca2,pre,Saturday,8.242766320580067,0,3,6,2,11,1.3345034387952779
8c8b69c30829410ba97add4d99084ca2,pre,Sunday,5.08580694415428,0,4,2,3,9,1.7696306798166543
8c8b69c30829410ba97add4d99084ca2,pre,Thursday,3.6811291965406303,0,1,2,1,4,1.086623094826183
8c8b69c30829410ba97add4d99084ca2,pre,Wednesday,3.115517492730007,0,2,4,3,9,2.8887656772915915
8d3cc8f598564bd5b108ae140e61e94d,post,Monday,11.648818241505666,0,7,7,6,20,1.7169123584346444
8d3cc8f598564bd5b108ae140e61e94d,post,Saturday,10.929697082599807,0,6,3,5,14,1.2809138162015623
8d3cc8f598564bd5b108ae140e61e94d,post,Tuesday,3.917117982179648,0,4,0,1,5,1.276448660149315
8d3cc8f598564bd5b108ae140e61e94d,post,Wednesday,5.138820987174753,0,0,1,3,4,0.7783886634663917
8d3cc8f598564bd5b108ae140e61e94d,pre,Friday,7.781987449921818,0,4,1,0,5,0.6425093887873377
8d3cc8f598564bd5b108ae140e61e94d,pre,Monday,1.697247479275399,0,1,3,1,5,2.945946340208816
8d3cc8f598564bd5b108ae140e61e94d,pre,Saturday,8.894754002592538,0,4,7,0,11,1.2366840046159624
8d3cc8f598564bd5b108ae140e61e94d,pre,Sunday,3.7278377810206536,0,2,3,4,9,2.4142681438074454
8d3cc8f598564bd5b108ae140e61e94d,pre,Tuesday,1.892054890048978,0,1,0,0,1,0.5285258928054216
8d7f675ff2624ffb9465426c5eb78be3,post,Saturday,3.5474858885499243,0,0,2,1,3,0.845669325897244
8d7f675ff2624ffb9465426c5eb78be3,post,Thursday,6.3640131839832215,0,1,2,2,5,0.7856677626916089
8d7f675ff2624ffb9465426c5eb78be3,post,Tuesday,6.614217760037533,0,4,4,1,9,1.360705124402939
8d7f675ff2624ffb9465426c5eb78be3,pre,Monday,3.048234668057431,0,1,0,1,2,0.6561174639728619
8d7f675ff2624ffb9465426c5eb78be3,pre,Saturday,4.122953020622052,0,0,3,0,3,0.7276338063991264
